ID,Name,Glottocode
Kharia_SM,Kharia,khar1287
Santali_NM,Santali,sant1410
Mundari_NM,Mundari,mund1320
Ho_NM,Ho,hooo1248
Remo_SM,Remo,bond1245
Juang_SM,Juang,juan1238
Gorum_SM,Gorum,pare1266
Gutob_SM,Gutob,bodo1267
Korku_NM,Korku,kork1243
Sora_SM,Sora,sora1254
Gta_SM,Gta,gata1239
Sadri_IA,Sadri,sadr1248
Bengali_IA,Bengali,beng1280
Maithili_IA,Maithili,mait1250
Oriya_IA,Oriya,adiv1239
Bhojpuri_IA,Bhojpuri,bhoj1244
Hindi_IA,Hindi,hind1269
Nepali_IA,Nepali,nepa1254
Darai_IA,Darai,dara1250
Konkani_IA,Konkani,konk1267
Marathi_IA,Marathi,mara1378
Braj_IA,Braj,braj1242
Kurukh_DR,Kurukh,kuru1302
Malto_DR,Malto,kuma1274
Brahui_DR,Brahui,brah1256
Kannada_DR,Kannada,nucl1305
Telugu_DR,Telugu,telu1262
Kuvi_DR,Kuvi,kuvi1243
Kui_DR,Kui,kuii1252
